ISO_Code,Country,Region,Sub-region,Least developed countries (LDC),Africa sub-regions,Africa region,Total,Male,Female,Urban,Rural,Poorest,Second,Middle,Fourth,Richest,Source,,,,,,
UGA,Uganda,SSA,ESA,LDC,Eastern Africa,All,34,33,36,57,29,13,19,32,44,65, DHS 2016 ,4625445,4554565,2290779.695,6889230.305,24.954,75.046
UKR,Ukraine,ECA,EECA,,,,100,100,99,100,99,100,98,100,100,100, MICS 2012 ,868641,818456,1174354.48,512742.5202,69.608,30.392
ARE,United Arab Emirates,MENA,,,,,,,,,,,,,,,,231861,221793,394896.7339,58757.26608,87.048,12.952
GBR,United Kingdom,ECA,WE,,,,,,,,,,,,,,,2467613,2356831,4047853.249,776590.7507,83.903,16.097
TZA,United Republic of Tanzania,SSA,ESA,LDC,Eastern Africa,All,80,75,84,89,74,61,68,78,86,94, DHS 2015-16 ,5671070,5592803,3967924.542,7295948.458,35.227,64.773
USA,United States,NA,,,,,,,,,,,,,,,,12598457,12084205,20403675.72,4278986.284,82.664,17.336
URY,Uruguay,LAC,,,,,94,92,95,94,94,84,96,96,95,100, MICS 2012-13 ,148862,142322,278124.3976,13059.6024,95.515,4.485
UZB,Uzbekistan,ECA,EECA,,,,,,,,,,,,,,,1227179,1163684,1205377.49,1185485.51,50.416,49.584
VUT,Vanuatu,EAP,,LDC,,,,,,,,,,,,,,21395,19545,10449.935,30490.065,25.525,74.475
VEN,Venezuela (Bolivarian Republic of),LAC,,,,,,,,,,,,,,,,1802010,1728429,3116636.245,413802.7552,88.279,11.721
VNM,Viet Nam,EAP,,,,,97,96,97,99,96,90,98,99,99,99, MICS 2014 ,3858339,3505350,2749601.473,4614087.527,37.34,62.66
YEM,Yemen,MENA,,LDC,,,63,70,55,79,56,33,53,66,74,86, DHS 2013 ,2237232,2146751,1661880.276,2722102.724,37.908,62.092
ZMB,Zambia,SSA,ESA,LDC,Southern Africa,All,74,73,75,88,62,43,62,69,84,94, DHS 2013-14 ,1692109,1671102,1500967.437,1862243.563,44.629,55.371
ZWE,Zimbabwe,SSA,ESA,,Southern Africa,All,88,87,89,97,85,74,82,89,93,98, DHS 2015 ,1563934,1555336,1005715.033,2113554.967,32.242,67.758
